Date;Close_GJTL;Close_TLKM;Close_UNTR;Close_DILD;Close_UNVR
30/09/2021;715;3690;26000;165;3950
01/10/2021;715;3660;26000;171;3860
04/10/2021;730;3670;27100;178;3980
05/10/2021;725;3670;26100;179;4150
06/10/2021;735;3760;26525;183;4270
07/10/2021;745;3720;25900;181;4830
08/10/2021;750;3800;26125;183;4760
11/10/2021;750;3810;26350;193;4830
12/10/2021;740;3780;26275;187;4930
13/10/2021;735;3770;26225;188;5250
14/10/2021;740;3830;25700;189;5325
15/10/2021;740;3810;25500;188;5225
18/10/2021;745;3790;26300;189;5100
19/10/2021;765;3740;25650;187;5125
21/10/2021;765;3850;24700;185;5000
22/10/2021;755;3870;23700;184;4850
25/10/2021;750;3780;24000;183;4580
26/10/2021;755;3800;24500;182;4640
27/10/2021;745;3790;24500;183;4540
28/10/2021;725;3750;23000;173;4440
29/10/2021;730;3800;23550;173;4420
01/11/2021;715;3700;23600;178;4420
02/11/2021;715;3660;23000;176;4470
03/11/2021;710;3720;22325;174;4450
04/11/2021;715;3770;22400;178;4450
05/11/2021;715;3770;22400;178;4430
08/11/2021;720;3750;23150;177;4460
09/11/2021;715;3710;23050;176;4430
10/11/2021;715;3700;22550;179;4370
11/11/2021;715;3650;22375;178;4660
12/11/2021;715;3600;22800;178;4600
15/11/2021;705;3600;22275;176;4510
16/11/2021;710;3670;22425;176;4570
17/11/2021;705;3630;22975;176;4500
18/11/2021;705;3630;22775;175;4480
19/11/2021;710;3900;22675;175;4660
22/11/2021;720;3800;23000;170;4840
23/11/2021;720;3800;22650;172;4880
24/11/2021;715;3800;22450;172;4840
25/11/2021;710;4000;22850;172;4820
26/11/2021;705;4010;21800;168;4710
29/11/2021;690;4140;21825;170;4630
30/11/2021;670;3990;21350;166;4480
01/12/2021;660;4080;22025;164;4310
02/12/2021;665;4160;23225;166;4290
03/12/2021;680;4070;22700;169;4220
06/12/2021;670;4170;22450;165;4200
07/12/2021;670;4150;23000;166;4270
08/12/2021;680;4090;22350;166;4270
09/12/2021;675;4150;22325;166;4370
10/12/2021;680;4150;23000;164;4430
13/12/2021;675;4080;22025;164;4380
14/12/2021;680;4100;22000;164;4290
15/12/2021;675;4080;21700;167;4270
16/12/2021;665;4100;21825;167;4210
17/12/2021;665;4100;21725;166;4150
20/12/2021;660;4080;21300;164;4140
21/12/2021;665;4160;22025;164;4080
22/12/2021;660;4110;21800;159;4060
23/12/2021;665;4160;22225;157;4080
24/12/2021;660;4110;22150;157;4200
27/12/2021;665;4080;22025;150;4210
28/12/2021;660;4090;22950;152;4180
29/12/2021;665;4080;22800;154;4120
30/12/2021;665;4040;22150;156;4110
03/01/2022;670;4180;21825;154;4230
04/01/2022;675;4170;21925;150;4250
05/01/2022;680;4050;21950;151;4210
06/01/2022;665;4120;21725;151;4230
07/01/2022;675;4170;22175;150;4220
10/01/2022;665;4100;21800;150;4250
11/01/2022;655;4090;21750;149;4180
12/01/2022;650;4110;22100;150;4330
13/01/2022;655;4180;22675;149;4270
